,ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,episode_name,episode_show_name,reason_start,reason_end
2399,2021-11-01T01:05:43Z,203493,Stop The Rain,Ed Sheeran,=,,,trackdone,trackdone
2400,2021-11-01T01:08:54Z,190933,Love In Slow Motion,Ed Sheeran,=,,,trackdone,trackdone
2401,2021-11-01T01:12:29Z,215506,Visiting Hours,Ed Sheeran,=,,,trackdone,trackdone
2402,2021-11-01T01:16:48Z,259333,Sandman,Ed Sheeran,=,,,trackdone,trackdone
2403,2021-11-01T01:20:19Z,211080,Be Right Now,Ed Sheeran,=,,,trackdone,trackdone
2404,2021-11-01T01:23:05Z,132560,Love In Slow Motion,Ed Sheeran,=,,,playbtn,endplay
2405,2021-11-01T01:26:21Z,195760,Tides,Ed Sheeran,=,,,clickrow,trackdone
2406,2021-11-01T01:29:49Z,207853,Shivers,Ed Sheeran,=,,,trackdone,trackdone
2407,2021-11-01T01:32:55Z,185853,First Times,Ed Sheeran,=,,,trackdone,trackdone
2408,2021-11-01T01:37:16Z,230746,Bad Habits,Ed Sheeran,=,,,trackdone,trackdone
2409,2021-11-01T01:41:13Z,236906,Overpass Graffiti,Ed Sheeran,=,,,trackdone,trackdone
2410,2021-11-01T01:48:57Z,216229,The Joker And The Queen,Ed Sheeran,=,,,trackdone,trackdone
2411,2021-11-01T02:31:19Z,125546,Leave Your Life,Ed Sheeran,=,,,trackdone,logout
2412,2021-11-01T16:54:17Z,6960,Leave Your Life,Ed Sheeran,=,,,appload,endplay
2413,2021-11-01T17:01:06Z,279490,Tides,Ed Sheeran,=,,,clickrow,trackdone
2414,2021-11-01T17:04:34Z,207853,Shivers,Ed Sheeran,=,,,trackdone,trackdone
2415,2021-11-01T17:25:02Z,228330,First Times,Ed Sheeran,=,,,trackdone,trackdone
2416,2021-11-01T17:29:23Z,230746,Bad Habits,Ed Sheeran,=,,,trackdone,trackdone
2417,2021-11-01T17:33:20Z,236906,Overpass Graffiti,Ed Sheeran,=,,,trackdone,trackdone
2418,2021-11-01T17:39:28Z,185586,The Joker And The Queen,Ed Sheeran,=,,,trackdone,trackdone
2419,2021-11-01T17:43:42Z,223866,Leave Your Life,Ed Sheeran,=,,,trackdone,trackdone
2420,2021-11-01T17:47:12Z,210213,Collide,Ed Sheeran,=,,,trackdone,trackdone
2421,2021-11-01T17:49:46Z,153626,2step,Ed Sheeran,=,,,trackdone,trackdone
2422,2021-11-01T17:58:32Z,203493,Stop The Rain,Ed Sheeran,=,,,trackdone,trackdone
2423,2021-11-01T18:02:13Z,190933,Love In Slow Motion,Ed Sheeran,=,,,trackdone,trackdone
2424,2021-11-01T18:07:17Z,215506,Visiting Hours,Ed Sheeran,=,,,trackdone,trackdone
2425,2021-11-01T18:11:37Z,259333,Sandman,Ed Sheeran,=,,,trackdone,trackdone
2426,2021-11-01T18:23:06Z,211080,Be Right Now,Ed Sheeran,=,,,trackdone,trackdone
2427,2021-11-01T18:24:11Z,61040,Shivers,Ed Sheeran,Shivers,,,playbtn,endplay
2428,2021-11-01T18:26:36Z,143746,brutal,Olivia Rodrigo,SOUR,,,playbtn,trackdone
2429,2021-11-01T18:31:48Z,229226,traitor,Olivia Rodrigo,SOUR,,,trackdone,trackdone
2430,2021-11-01T18:35:50Z,242013,drivers license,Olivia Rodrigo,SOUR,,,trackdone,trackdone
2431,2021-11-01T18:39:04Z,163586,"1 step forward, 3 steps back",Olivia Rodrigo,SOUR,,,trackdone,trackdone
2432,2021-11-01T18:42:39Z,215506,deja vu,Olivia Rodrigo,SOUR,,,trackdone,trackdone
